sample_id,quote_id,quote_text
top1964:6381,q01226,"This is a war,"" Lemas replied. ""It's graphic and unpleasant because it's fought on a tiny scale, at close range; fought with a wastage of innocent life sometimes, I admit. But it's nothing, nothing at all besides other wars - the last or the next."
top1964:6381,q01227,"We have to live without sympathy, don't we? That's impossible of course. We act it to one another, all this hardness; but we aren't like that really, I mean...one can't be out in the cold all the time; one has to come in from the cold...d'you see what I mean?"
top1964:6381,q01228,"It is said that men condemned to death are subject to sudden moments of elation; as if, like moths in the fire, their destruction were coincidental with attainment."
top1964:6381,q01229,"I would say that since the war, our methods-out and those of the opposition-have become much the same. I mean you can't be less ruthless than the opposition simply because your government's 'policy' is benevolent, can you now?"
top1964:6381,q01230,Intelligence work has one moral law - it is justified by results.
top1964:6381,q01231,"He met failure as one day he would probably meet death, with cynical resentment and the courage of a solitary."
top1964:6381,q01232,"What do you think spies are: priests, saints, and martyrs? They’re a squalid procession of vain fools, traitors too, yes; pansies, sadists, and drunkards, people who play cowboys and Indians to brighten their rotten lives. Do you think they sit like monks in London balancing the rights and wrongs? I’d have killed Mundt if I could, I hate his guts; but not now. It so happens that they need him. They need him so that the great moronic mass that you admire can sleep soundly in their beds at night. They need him for the safety of ordinary, crummy people like you and me."
top1964:6381,q01233,"It is not fashionable to quote Stalin but he said once, ""half a million liquidated is a statistic, and one man killed in a traffic accident is a national tragedy."
top1964:6381,q01234,"Don't give it to them all at once, make them work for it. Confuse them with detail, leave things out, go back on your tracks. Be testy, be cussed, be difficult. Drink like a fish; don't give way on the ideology, they won't trust that. They want to deal with a man they've bought; they want the clash of opposites, Alec, not some half-cock convert."
top1964:6381,q01235,"He knew then what it was that Liz had given him; the thing that he would have to go back and find if ever he got home to England; it was the caring about little things - the faith in ordinary life; the simplicity that made you break up a bit of bread into a paper bag, walk down to the beach and throw it to the gulls. It was this respect for triviality which he had never been allowed to possess; whether it was bread of the seagulls or love"
top1964:6381,q01236,"A man who lives apart, not to others but alone, is exposed to obvious psychological dangers. In itself, the practice of deception is not particularly exacting; it is a matter of experience, of professional expertise, it is a facility most of us can acquire."
top1964:6381,q01237,"He became a solitary, belonging to that tragic class of active men prematurely deprived of activity; swimmers barred from the water or actors banished from the stage."
top1964:6381,q01238,"Sometimes she thought Alec was right—you believed in things because you needed to; what you believed in had no value of its own, no function. What did he say: “A dog scratches where it itches. Different dogs itch in different places."
top1964:6381,q01239,"Alec, what do you believe in? Don't laugh-tell me.' She waited and at last he said:'I believe an eleven bus will take me to Hammersmith. I don't believe it's driven by Father Christmas."
top1964:6381,q01240,"Most of all he asked about their philosophy. To Leamas that was the most difficult question of all. ‘What do you mean, a philosophy?’ he replied. ‘We’re not Marxists, we’re nothing. Just people.’ ‘Are you Christians, then?’ ‘Not many, I shouldn’t think. I don’t know many.’ ‘What makes them do it, then?’ Fiedler persisted. ‘They must have a philosophy.’ ‘Why must they? Perhaps they don’t know, don’t even care. Not everyone has a philosophy,’ Leamas answered, a little helplessly."
top1964:6381,q01241,"Ashe was typical of that strata of mankind which conducts its human relationships according to a principle of challenge and response. Where there was softness, he would advance; where he found resistance, retreat. Having himself no particular opinions or tastes he relied upon whatever conformed with those of his companion. He was as ready to drink tea at Fortnum's as beer at the Prospect of Whitby; he would listen to military music in St. James's Park or jazz in Compton Street cellar; his voice would tremble with sympathy when he spoke of Sharpeville, or with indignation at the growth of Britain's colored population. To Leamas this observably passive role was repellent; it brought out the bully in him, so that he would lead the other gently into a position where he was committed, and then himself withdraw, so that Ashe was constantly scampering back from some cul-de-sac into which Leamas had enticed him."
