sample_id,quote_id,quote_text
top2003:730,q01094,"I'm here to tell you, separate was never equal."
top2003:730,q01095,"You count the years until you get a varsity jersey, then you're a hero, an idol, a cocky bastard because in this town you can do no wrong. You win and win and you're the king of your own little world, then poof, it's gone. You play your last game and everybody cries. You can't believe it's over. Then another team comes right behind you and you're forgotten."
top2003:730,q01096,We were invincible because we were eighteen and stupid.
top2003:730,q01097,"miss him?” Another slow sip. “How can you not miss Rake once you’ve played for him? I see his face every day. I hear his voice. I can smell him sweating. I can feel him hitting me, with no pads on. I can imitate his growl, his grumbling, his bitching. I remember his stories, his speeches, his lessons. I remember all forty plays and all thirty-eight games when I wore the jersey. My father died four years ago and I loved him dearly, but, and this is hard to say, he had less influence on me than Eddie Rake."
top2003:730,q01098,Our pictures hang on the walls
top2003:730,q01099,His genius was simple—stick to the basics
top2003:730,q01100,His players were taught that those who are timid and frightened have no place among the victors. Those who take no risks receive no rewards.
