sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top2000:635,top2000,post45_topn,635,BEFORE I SAY GOOD-BYE,Mary Higgins Clark,2000,2000-05-07,9780684835983,43849310.0,1,12
top2002:4982,top2002,post45_topn,4982,THE DIARY OF ELLEN RIMBAUER,edited by Joyce Reardon,2002,2002-01-27,,,1,11
top2002:6122,top2002,post45_topn,6122,THE REMNANT,Tim LaHaye and Jerry B. Jenkins,2002,2002-07-21,,,1,11
top2005:2702,top2005,post45_topn,2702,LIFEGUARD,James Patterson and Andrew Gross,2005,2005-07-31,,,1,10
top2013:3892,top2013,post45_topn,3892,S.,Doug Dorst,2013,2013-11-17,9780316201643,842877804.0,7,10
