sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1946:505,top1946,ARCH OF TRIUMPH,Erich Maria Remarque,1946,,672948,78113139,Arch of Triumph,Erich Maria Remarque,1945,33518,title_author,high,,1,29,26,2026-08-14T23:55:45
top1946:558,top1946,B.F.'s DAUGHTER,John P. Marquand,1946,,142410045,158066812,B.F.'s Daughter,Robert Z. Leonard (director); John P. Marquand (novel); Luther Davis (screenwriter),1947,0,title_author,medium,low_ratings,0,0,0,2026-08-14T23:55:45
top1947:2857,top1947,LYDIA BAILEY,Kenneth Roberts,1947,,128764531,1263721,Lydia Bailey by Kenneth Lewis Roberts,Kenneth Roberts,1940,491,title_author,medium,year_off(1940vs1947),0,0,0,2026-08-14T23:55:45
top1947:6619,top1947,THE VIXENS,Frank Yerby,1947,,1269831,1258753,The Vixens,Frank Yerby,1947,169,title_author,high,,0,0,0,2026-08-14T23:55:45
top1947:909,top1947,CAME A CAVALIER,Frances Parkinson Keyes,1947,,608903,829275,Came A Cavalier,Frances Parkinson Keyes,1947,173,title_author,high,,0,0,0,2026-08-14T23:55:45
top1948:6765,top1948,THE YOUNG LIONS,Irwin Shaw,1948,,315511,306344,The Young Lions,Irwin Shaw,1948,4715,title_author,high,,1,18,18,2026-08-14T23:55:45
top1948:3709,top1948,RAINTREE COUNTY,Ross Lockridge,1948,,257233,249300,Raintree County,Ross Lockridge Jr.,1948,1114,title_author,high,,1,10,10,2026-08-14T23:55:45
top1948:1215,top1948,"CRY, THE BELOVED COUNTRY",Alan Paton,1948,,133387586,59082,"Cry, The Beloved Country by Alan Paton",Alan Paton,1948,80945,title_author,high,,2,59,50,2026-08-14T23:55:45
top1949:3607,top1949,PRIDE'S CASTLE,Frank Yerby,1949,,1446970,1437672,Pride's castle,Frank Yerby,1949,217,title_author,high,,0,0,0,2026-08-14T23:55:45
top1949:4715,top1949,THE BRAVE BULLS,Tom Lea,1949,,1627737,1621811,The Brave Bulls: A Novel,Tom Lea,1949,34,title_author,high,,1,1,1,2026-08-14T23:55:45
