sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,pct_present,situation,label,confidence,why
top2020:2357,IF IT BLEEDS,Stephen King,25,9,11,4,0,1,6,3,0.3333333333333333,dual,DUAL,high,"67% past / 33% present of 9, situation=dual"
top2020:5938,THE ORDER,Daniel Silva,25,0,2,9,14,0,0,0,,retrospective,INSUFFICIENT,,only 0 event quotes
top2020:4687,THE BOOK OF LONGINGS,Sue Monk Kidd,48,20,11,16,1,0,18,2,0.1,retrospective,PAST,high,"90% past / 10% present of 20, situation=retrospective"
top2020:4361,SUCH A FUN AGE,Kiley Reid,25,14,1,9,0,1,14,0,0.0,retrospective,PAST,high,"100% past / 0% present of 14, situation=retrospective"
top2020:2978,MEXICAN GOTHIC,Silvia Moreno-Garcia,24,10,4,10,0,0,10,0,0.0,retrospective,PAST,high,"100% past / 0% present of 10, situation=retrospective"
top2020:693,BIG SUMMER,Jennifer Weiner,24,13,10,0,0,1,13,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2020:259,A TIME FOR MERCY,John Grisham,23,11,3,9,0,0,11,0,0.0,retrospective,PAST,high,"100% past / 0% present of 11, situation=retrospective"
top2020:6126,THE RETURN,Nicholas Sparks,23,9,10,2,0,2,7,2,0.2222222222222222,retrospective,PAST,high,"78% past / 22% present of 9, situation=retrospective"
top2020:740,BLINDSIDE,James Patterson and Jame,23,12,7,3,0,1,11,1,0.08333333333333333,retrospective,PAST,high,"92% past / 8% present of 12, situation=retrospective"
top2020:5075,THE EVENING AND THE MORNING,Ken Follett,22,15,0,5,0,2,15,0,0.0,retrospective,PAST,high,"100% past / 0% present of 15, situation=retrospective"
top2020:7161,WALK THE WIRE,David Baldacci,19,5,3,10,0,1,5,0,0.0,retrospective,PAST,med,"100% past / 0% present of 5, situation=retrospective"
top2020:1718,FAIR WARNING,Michael Connelly,16,8,5,2,0,1,8,0,0.0,retrospective,PAST,high,"100% past / 0% present of 8, situation=retrospective"
top2020:4710,THE BOY FROM THE WOODS,Harlan Coben,16,5,8,3,0,0,5,0,0.0,retrospective,PAST,med,"100% past / 0% present of 5, situation=retrospective"
top2020:414,AMERICAN DIRT,Jeanine Cummins,52,33,6,4,7,2,4,29,0.8787878787878788,simultaneous,PRESENT,high,"12% past / 88% present of 33, situation=simultaneous"
top2020:1356,DEAR EDWARD,Ann Napolitano,43,14,11,16,2,0,2,12,0.8571428571428571,simultaneous,PRESENT,high,"14% past / 86% present of 14, situation=simultaneous"
top2020:6216,THE SEARCHER,Tana French,43,30,1,11,0,1,5,25,0.8333333333333334,simultaneous,PRESENT,high,"17% past / 83% present of 30, situation=simultaneous"
top2020:4688,THE BOOK OF LOST FRIENDS,Lisa Wingate,31,12,12,3,1,3,2,10,0.8333333333333334,simultaneous,PRESENT,high,"17% past / 83% present of 12, situation=simultaneous"
top2020:2385,IN FIVE YEARS,Rebecca Serle,24,12,6,5,0,1,4,8,0.6666666666666666,simultaneous,PRESENT,high,"33% past / 67% present of 12, situation=simultaneous"
