sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1997:2256,top1997,post45_topn,2256,HORNET'S NEST,Patricia Cornwell,1997,1997-02-02,0399142282,35192245.0,1,11
top1997:1110,top1997,post45_topn,1110,COMANCHE MOON,Larry McMurtry,1997,1997-11-16,0684807548,37300796.0,7,11
top1997:4187,top1997,post45_topn,4187,SOLE SURVIVOR,Dean Koontz,1997,1997-02-23,0679425268,35995392.0,1,10
top2001:5812,top2001,post45_topn,5812,THE MITFORD SNOWMEN,Jan Karon,2001,2001-10-21,0670030198,48014751.0,8,12
top2001:1940,top2001,post45_topn,1940,FROM THE CORNER OF HIS EYE,Dean Koontz,2001,2001-01-14,0553801341,45100121.0,1,11
top2001:2654,top2001,post45_topn,2654,LEAP OF FAITH,Danielle Steel,2001,2001-07-01,0385332963,44914200.0,1,10
