sample_id,quote_id,quote_text
top2010:3859,q02125,Scared is what you're feeling. Brave is what you're doing.
top2010:3859,q02126,"In the world I notice persons are nearly always stressed and have no time...I don't know how persons with jobs do the jobs and all the living as well...I guess the time gets spread very thin like butter all over the world, the roads and houses and playgrounds and stores, so there's only a little smear of time on each place, then everyone has to hurry on to the next bit."
top2010:3859,q02127,People don't always want to be with people. It gets tiring.
top2010:3859,q02128,If I was made of cake I'd eat myself before somebody else could.
top2010:3859,q02129,Stories are a different kind of true.
top2010:3859,q02130,"When I was a little kid I thought like a little kid, but now I'm five I know everything"
top2010:3859,q02131,I've seen the world and I'm tired now.
top2010:3859,q02132,"Goodbye, Room."" I wave up at Skylight. ""Say goodbye,"" I tell Ma. ""Goodbye, Room.""Ma says it but on mute.I look back one more time. It's like a crater, a hole where something happened. Then we go out the door."
top2010:3859,q02133,I think buddy is man talk for sweetie.
top2010:3859,q02134,Sometimes when persons say definitely it sounds actually less true.
top2010:3859,q02135,"People move around so much in the world, things get lost."
top2010:3859,q02136,"[E]verywhere I'm looking at kids, adults mostly don't seem to like them, not even the parents do. They call the kids gorgeous and so cute, they make the kids do the thing all over again so they can take a photo, but they don't want to actually play with them, they'd rather drink coffee talking to other adults. Sometimes there's a small kid crying and the Ma of it doesn't even hear."
top2010:3859,q02137,"I think about Old Nick carrying me into the truck, I'm dizzy like I'm going to fall down.""Scared is what you're feeling,"" says Ma, ""but brave is what you're doing.""""Huh?""""Scaredybrave.""""Scave.""Word sandwiches always make her laugh but I wasn't being funny."
top2010:3859,q02138,"The world is always changing brightness and hotness and soundness, I never know how it's going to be the next minute."
top2010:3859,q02139,"It’s called mind over matter. If we don’t mind, it doesn’t matter.” When a bit of me hurts, I always mind."
top2010:3859,q02140,"This is a bad story.”“Sorry. I’m really sorry. I shouldn’t have told you.”“No, you should,” I say.“But—”“I don’t want there to be bad stories and me not know them."
top2010:3859,q02141,"When I tell her what I’m thinking and she tells me what she’s thinking, our each ideas jumping into the other’s head, like coulouring blue crayon on top of yellow that makes green."
top2010:3859,q02142,"I remember manners, that's when people are scared to make other persons mad."
top2010:3859,q02143,A lot of the world seems to repeat itself
top2010:3859,q02144,"You know who you belong to, Jack?”“Yeah.”“Yourself.”He’s wrong, actually, I belong to Ma."
top2010:3859,q02145,"Outside has everything. Whenever I think of a thing now like skis or fireworks or islands or elevators or yo-yos, I have to remember they're real, they're actually happening in Outside all together. It makes my head tired. And people too, firefighters teachers burglars babies saints soccer players and all sorts, they're all really in Outside. I'm not there, though, me and Ma, we're the only ones not there. Are we still real?"
top2010:3859,q02146,"There's not a thing wrong with you, you're right the whole way through."
top2010:3859,q02147,"Me and Ma have a deal, we're going to try everything one time so we know what we like."
top2010:3859,q02148,"When I was four I thought everything in TV was just TV, then I was five and Ma unlied about lots of it being pictures of real and Outside being totally real. Now I’m in Outside but it turns out lots of it isn’t real at all."
top2010:3859,q02149,"Maybe I’m a human, but I’m a me-and-Ma as well."
top2010:3859,q02150,"Ma's still nodding. ""You're the one who matters, though. Just you.""I shake my head till it's wobbling because there's no just me."
