sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1931:5304,top1931,THE GOOD EARTH,Pearl S. Buck,1931,9780743272933,1078,2346070,The Good Earth,Pearl S. Buck,1931,264297,isbn,high,,1,29,27,2026-08-13T21:34:02
top1932:5193,top1932,THE FOUNTAIN,Charles Morgan,1932,,36127,36036,The Fountain,Charles Morgan,1932,57,title_author,high,,1,1,1,2026-08-13T21:34:02
top1933:481,top1933,ANTHONY ADVERSE,Hervey Allen,1933,,1755883,1753744,Anthony Adverse,Hervey Allen,1933,221,title_author,high,,0,0,0,2026-08-13T21:34:02
top1934:2031,top1934,"GOOD-BYE, MR. CHIPS",James Hilton,1934,0316364207,413617,2147442,"Good-Bye, Mr. Chips",James Hilton,1934,15651,isbn,high,,2,39,29,2026-08-13T21:34:02
top1935:2055,top1935,GREEN LIGHT,Lloyd C. Douglas,1935,,759187,745296,Green Light,Lloyd C. Douglas,1934,214,title_author,high,,0,0,0,2026-08-13T21:34:02
top1936:2026,top1936,GONE WITH THE WIND,Margaret Mitchell,1936,9781416548898,34689759,3358283,Gone with the Wind,Margaret Mitchell,1936,1269749,isbn,high,,1,29,26,2026-08-13T21:34:02
top1937:4844,top1937,THE CITADEL,A. J. Cronin,1937,9780316161831,634747,621034,The Citadel,A.J. Cronin,1937,11223,isbn,high,,1,6,3,2026-08-13T21:34:02
top1938:6760,top1938,THE YEARLING,Marjorie Kinnan Rawlings,1938,,170973550,583534,The Yearling - Marjorie Kinnan Rawlings - The Franklin Library - Thomas Allen Illustrations,Marjorie Kinnan Rawlings,1938,31067,title_author,high,,2,35,32,2026-08-13T21:34:02
top1939:5317,top1939,THE GRAPES OF WRATH,John Steinbeck,1939,0670347914,18114322,2931549,The Grapes of Wrath,John Steinbeck,1939,1022712,isbn,high,,4,120,92,2026-08-13T21:34:02
top1940:2286,top1940,HOW GREEN WAS MY VALLEY,Richard Llewellyn,1940,,40496,2329482,How Green Was My Valley,Richard Llewellyn,1939,19347,title_author,high,,1,29,29,2026-08-13T21:34:02
top1941:5530,top1941,THE KEYS OF THE KINGDOM,A. J. Cronin,1941,,184803,2429749,The Keys of the Kingdom,A.J. Cronin,1941,3761,title_author,high,,1,13,12,2026-08-13T21:34:02
top1942:6157,top1942,THE ROBE,Lloyd C. Douglas,1942,,60395731,467637,The Robe by Lloyd C. Douglas: A Tale of Redemption and Spiritual Awakening,Lloyd C. Douglas,1942,27636,title_author,high,,1,28,22,2026-08-13T21:34:02
top1943:263,top1943,A TREE GROWS IN BROOKLYN,Betty Smith,1943,,148061217,833257,A Tree Grows In Brooklyn by Betty Smith,Betty Smith,1943,530568,title_author,high,,3,89,74,2026-08-13T21:34:02
top1944:1896,top1944,FOREVER AMBER,Kathleen Winsor,1944,,22012574,2522906,Forever Amber / Kathleen Winsor,Kathleen Winsor,1944,19943,title_author,high,,1,9,9,2026-08-13T21:34:02
top1945:926,top1945,CAPTAIN FROM CASTILLE,Samuel Shellaburger,1945,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-13T21:34:02
top1946:5803,top1946,THE MIRACLE OF THE BELLS,Russell Janney,1946,9997502205,29929411,1433380,Miracle of the Bells,Russell Janney,1946,147,isbn,high,,0,0,0,2026-08-13T21:34:02
top1947:2605,top1947,KNOCK ON ANY DOOR,Willard Motley,1947,,257127,249195,Knock on Any Door,Willard Motley,1947,403,title_author,high,,0,0,0,2026-08-13T21:34:02
top1948:4625,top1948,THE BIG FISHERMAN,Lloyd C. Douglas,1948,,778667,764696,The Big Fisherman,Lloyd C. Douglas,1936,1966,title_author,medium,year_off(1936vs1948),0,0,0,2026-08-13T21:34:02
top1949:5038,top1949,THE EGYPTIAN,Mika Waltari,1949,0399102345,364826,2072467,The Egyptian,Mika Waltari,1945,29186,isbn,medium,year_off(1945vs1949),2,52,17,2026-08-13T21:34:02
top1950:4758,top1950,THE CARDINAL,Henry Morton Robinson,1950,,1866494,1867260,The Cardinal,Henry Morton Robinson,1950,541,title_author,high,,1,2,2,2026-08-13T21:34:02
top1951:4749,top1951,THE CAINE MUTINY,Herman Wouk,1951,,368772,1059565,The Caine Mutiny,Herman Wouk,1951,27490,title_author,high,,2,58,48,2026-08-13T21:34:02
top1952:6310,top1952,THE SILVER CHALICE,Thomas B. Costain,1952,0385044291,122771,2219799,The Silver Chalice,Thomas B. Costain,1952,4532,isbn,high,,1,3,3,2026-08-13T21:34:02
