quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00021,top1978:7166,376293,1,23,https://www.goodreads.com/work/quotes/376293,"person.” Nobody came to Slote’s flat on Sunday evening. The front page of the Zurich Tageblatt, lying on his desk Monday morning, had a spread of Japanese photographs about the Singapore victory, furnished by the German news service: the surrender ceremony, the hordes of British troops sitting on the earth in a prison compound, the celebration in Tokyo. The story about Father Martin was so short that Slote almost missed it, but there it was at the bottom of the page. The truck driver, who claimed that his brakes had failed, was being held for questioning. The priest was dead, crushed. 19 A Jew’s Journey (excerpt from Aaron Jastrow’s manuscript) APRIL 23, 1942. American bombers have raided Tokyo! My pulse races as it once did when, an immigrant in love with everything American, infected with baseball fever, I saw Babe Ruth hit a home run. For me America is the Babe Ruth of the nations. I unashamedly confess it. And the Babe has come out of his slump and “hit one over the fence”! Strange, how Allied airplane bombs infallibly fall on churches, schools, and hospitals; what a triumph of military imprecision! If Berlin radio speaks the truth—and why should Germans lie, pray?—the RAF has by now flattened nearly all institutions of worship, learning, and healing in Germany, while unerringly missing all other targets. Now we are told that Tokyo was unscathed in the raid except for a great number of schools, hospitals, and temples demolished by the barbarous Americans. Most extraordinary. My niece calls this “Doolittle raid” (an intrepid Army Air Corps colonel of that name led the attack) just a stunt, a token bombing. It will make no difference to the war; so she says. What she did, when the news came through on the BBC, was to entrust her baby to the cook, rush down to the Excelsior Hotel where our fellow journalists are housed, and there get joyously drunk with them. They are drunk nearly all the time, but I have not seen Natalie inebriated in years. I must say that when her chief local admirer, a banal-minded Associated Press reporter, brought her back, she was full of amusing raillery, though scarcely able to walk straight. Her mood was so gay, in fact, that I was tempted to disclose then and there the grave secret I have been harboring for two weeks, not even entrusting it to these pages. But I refrained. She has suffered enough on my account. Time enough to reveal",,,
q00022,top1978:7166,376293,1,24,https://www.goodreads.com/work/quotes/376293,"But I’m honestly not sure at this late hour of my life, Natalie, whether human nature is happier under tyranny, with its fixed codes, its terrorized quiet, its simple duties, or amid the dilemmas and disorders of freedom. Byzantium lasted a thousand years. It’s doubtful whether America will last two hundred. I’ve lived more than ten years in a Fascist country, and I’ve been more at peace than I ever was in the money-chasing hurly-burly back home. I really fear an American 1918, Natalie. I fear a sudden falling apart of those unloving elements held together by the common pursuit of money. I foresee horrors in defeat, amid abandoned skyscrapers and grass-grown highways, that will eclipse the Civil War! A blood bath with region against region, race against race, every man’s hand against his brother, and all hands against the Jews.",,,
q00023,top1978:7166,376293,1,25,https://www.goodreads.com/work/quotes/376293,War is politics implemented by the use of force.,,,
q00024,top1978:7166,376293,1,26,https://www.goodreads.com/work/quotes/376293,face grew longer and grimmer as Berel,,,
q00025,top1995:6096,3154548,1,0,https://www.goodreads.com/work/quotes/3154548,Don't compromise yourself - you're all you have.,,,
q00026,top1995:6096,3154548,1,2,https://www.goodreads.com/work/quotes/3154548,"I'm alone and outgunned, scared and inexperienced, but I'm right.",,,
q00027,top1995:6096,3154548,1,3,https://www.goodreads.com/work/quotes/3154548,"I don't feel stupid, just inadequate. After three years of studying the law, I'm very much aware of how little I know.",,,
q00028,top1995:6096,3154548,1,4,https://www.goodreads.com/work/quotes/3154548,"Please give me fifty more years of work and fun, then an instant death when I'm sleeping.",,,
q00029,top1995:6096,3154548,1,5,https://www.goodreads.com/work/quotes/3154548,A battered wife is a married woman until she gets a divorce. Or until she kills the bastard.,,,
q00030,top1995:6096,3154548,1,6,https://www.goodreads.com/work/quotes/3154548,"All students enter law school with a certain amount of idealism and desire to serve the public, but after three years of brutal competition we care for nothing but the right job with the right firm where we can make partner in seven years and earn big bucks.",,,
q00031,top1995:6096,3154548,1,7,https://www.goodreads.com/work/quotes/3154548,"The coffee arrives, and we backslide into what lawyers do best---talking about other lawyers.",,,
q00032,top1995:6096,3154548,1,8,https://www.goodreads.com/work/quotes/3154548,"He's my client, and he's counting on me. I'll take him, warts and all.",,,
q00033,top1995:6096,3154548,1,9,https://www.goodreads.com/work/quotes/3154548,life is too short to despise people who simply can't help what they've done.,,,
q00034,top1995:6096,3154548,1,10,https://www.goodreads.com/work/quotes/3154548,There are few things in life worse than a long-winded lawyer.,,,
q00035,top1995:6096,3154548,1,11,https://www.goodreads.com/work/quotes/3154548,"We cuss them because we're not good enough for them. We hate them because they wouldn't look at us, couldn't be bothered to give us an interview. I guess there's a Trent & Brent in every city, in every field. I didn't make it and I don't belong, so I'll just go through life hating them.",,,
q00036,top1995:6096,3154548,1,12,https://www.goodreads.com/work/quotes/3154548,"I am motivated by thoughts of my sorrowful little client and the screwing that he got. I'm the only lawyer Donny Ray has, and it will take much more than paper to slow me down.",,,
q00037,top1995:6096,3154548,1,13,https://www.goodreads.com/work/quotes/3154548,Anyone can cook a trout. The real art is in hooking the damned thing.,,,
q00038,top1995:6096,3154548,1,14,https://www.goodreads.com/work/quotes/3154548,"The company later went broke, and of course all blame was directed at the lawyers. Not once did I hear any talk that maybe a trace of mismanagement could in any way have contributed to the bankruptcy.",,,
q00039,top1995:6096,3154548,1,15,https://www.goodreads.com/work/quotes/3154548,"Like a snake creeping through the undergrowth, I sneak into the law school well past noon and hours after both of my scheduled classes have broken up.",,,
q00040,top1995:6096,3154548,1,16,https://www.goodreads.com/work/quotes/3154548,"F. Franklin the Fourth has a job with a firm rich in heritage, money and pretentiousness, a firm vastly superior to Brodnax and Speer. His sidekicks at the moment are W. Harper Whittenson, an arrogant little snot who will, thankfully, leave Memphis and practice with a mega-firm in Dallas; J. Townsend Gross, who has accepted a position with another huge firm; and James Straybeck, a sometimes friendly sort who's suffered three years of law school without an initial to place before his name or numerals to stick after it. With such a short name, his future as a big-firm lawyer is in jeopardy. I doubt if he'll make it.",,,
q00041,top1995:6096,3154548,1,17,https://www.goodreads.com/work/quotes/3154548,"I can feel the competition here, very much like the first few weeks of law school when we were terribly concerned with each other's initial progress. I nod at a few acquaintances, silently hoping they flunk the exam because they're silently hoping I Collapse too. Such is the nature of the profession.",,,
q00042,top1995:6096,3154548,1,18,https://www.goodreads.com/work/quotes/3154548,"It takes just one, he says over and over. You hear that all the time in this business. One big case, and you can retire. That's one reason lawyers do so many sleazy things, like full-color ads in the yellow pages, and billboards, and placards on city buses, and telephone solicitation. You hold your nose, ignore the stench of what you're doing, ignore the snubs and snobbery of big-firm lawyers, because it takes only one.",,,
q00043,top1995:6096,3154548,1,19,https://www.goodreads.com/work/quotes/3154548,SUDDEN AFFLUENCE triggers a desire for the better things in life.,,,
q00044,top1995:6096,3154548,1,20,https://www.goodreads.com/work/quotes/3154548,"expecting to hear a click followed by a dial tone, and also expecting to hear soft, longing words. Hell, I don’t know what to expect.",,,
q00045,top1995:6096,3154548,1,21,https://www.goodreads.com/work/quotes/3154548,"Deck has reduced the Canons of Ethics to the Big Three: Fight for your client, don’t steal, try not to lie.",,,
q00046,top1995:6096,3154548,1,23,https://www.goodreads.com/work/quotes/3154548,"At this crucial moment, I’m sure he’d sell hischildren if a miracle somehow could happen and a nice, neat Section U materialized.",,,
q00047,top1995:6096,3154548,1,25,https://www.goodreads.com/work/quotes/3154548,"Law school is nothing but three years of wasted stress. We spend countless hours digging for information we’ll never need. We are bombarded with lectures that are instantly forgotten. We memorize cases and statutes which will be reversed and amended tomorrow. If I’d spent fifty hours a week for the past three years training under a good lawyer, then I would be a good lawyer. Instead, I’m a nervous third-year student afraid of the simplest of legal problems and terrified of my impending bar exam.",,,
q00048,top1995:6096,3154548,1,27,https://www.goodreads.com/work/quotes/3154548,"I’m sure that if I stay in this business I’ll one day think of a dirtier trick, but one’s hard to imagine now.",,,
q00049,top1995:6096,3154548,1,28,https://www.goodreads.com/work/quotes/3154548,preferred means of treatment that no one but a quack would claim,,,
q00050,top1937:3337,40283,1,0,https://www.goodreads.com/work/quotes/40283,Maybe ever’body in the whole damn world is scared of each other.,,,
q00051,top1937:3337,40283,1,1,https://www.goodreads.com/work/quotes/40283,"I got you to look after me, and you got me to look after you, and that'swhy.",,,
q00052,top1937:3337,40283,1,2,https://www.goodreads.com/work/quotes/40283,"As happens sometimes, a moment settled and hovered and remained for much more than a moment. And sound stopped and movement stopped for much, much more than a moment.",,,
q00053,top1937:3337,40283,1,4,https://www.goodreads.com/work/quotes/40283,Guy don't need no sense to be a nice fella. Seems to me sometimes it jus' works the other way around. Take a real smart guy and he ain't hardly ever a nice fella.,,,
q00054,top1937:3337,40283,1,5,https://www.goodreads.com/work/quotes/40283,"His ear heard more than what was said to him, and his slow speech had overtones not of thought, but of understanding beyond thought.",,,
q00055,top1937:3337,40283,1,6,https://www.goodreads.com/work/quotes/40283,Trouble with mice is you always kill 'em.,,,
