sample_id,quote_id,quote_text
top1957:3363,q00609,"It's not the end of the world at all,"" he said. ""It's only the end for us. The world will go on just the same, only we shan't be in it. I dare say it will get along all right without us."
top1957:3363,q00610,"No, it wasn't an accident, I didn't say that. It was carefully planned, down to the tiniest mechanical and emotional detail. But it was a mistake."
top1957:3363,q00611,I'm glad we haven't got newspapers now. It's been much nicer without them.
top1957:3363,q00612,Some games are fun even when you lose. Even when you know you're going to lose before you start. It's fun just playing them.
top1957:3363,q00613,Maybe we've been too silly to deserve a world like this.
top1957:3363,q00614,"You know,"" he said, ""now that I've got used to the idea, I think I'd rather have it this way. We've all got to die one day, some sooner and some later. The trouble always has been that you're never ready, because you don't know when it's coming. Well, now we do know, and there's nothing to be done about it. I kind of like that. I kind of like the thought that I'll be fit and well up till the end of August and then - home. I'd rather have it that way than go on as a sick man from when I'm seventy to when I'm ninety."
top1957:3363,q00615,If what they say is right we're none of us going to have time to do all that we planned to do. But we can keep on doing it as long as we can.
top1957:3363,q00616,This is the way the world ends This is the way the world ends This is the way the world ends Not with a bang but a whimper.
top1957:3363,q00617,"She lived in the dream world of unreality, or else she would not admit reality; he did not know. In any case, he loved her as she was. It might never be used, but it would give her pleasure to have it."
top1957:3363,q00618,Security was now a thing of the past though it took a conscious effort to remember it; with no enemy in all the world there was little but the force of habit in it.
top1957:3363,q00619,"I want to drink hard liquor, as you call it, before lunch. I've got a mouth like the bottom of the parrot's cage. You wouldn't want me to throw a screaming fit in front of all your officers."
top1957:3363,q00620,"The news did not trouble her particularly; all news was bad, like wage demands, strikes, or war, and the wise person paid no attention to it. What was important was that it was a bright, sunny day; her first narcissi were in bloom, and the daffodils behind them were already showing flower buds."
top1957:3363,q00621,"All those cities, all those fields and farms, with nobody, and nothing left alive. Just nothing there. I simply can't take it in."
top1957:3363,q00622,"You could have done something with newspapers. We didn't do it. No nation did, because we were all too silly. We liked our newspapers with pictures of beach girls and headlines about cases of indecent assault, and no Government was wise enough to stop us having them that way. But something might have been done with newspapers, if we'd been wise enough."
top1957:3363,q00623,"Into the world of romance, of make-belief and double brandies!"
top1957:3363,q00624,"She nodded, and moved towards the door. “I’ll turn this top light out. Don’t stay up too long. Sure you’ve got everything you want?” “Sure, honey,” he said. “I’ve got everything now.” “Good night,” she said. She closed the door behind her. He lay for some time in the firelight thinking of Sharon and of Helen, of bright summer days and tall ships at Mystic, of Helen leaping on the Pogo stick on the swept sidewalk with the piles of snow on either hand, of this girl and her kindness. Presently he drifted into sleep, one hand upon the Pogo stick beside him."
top1957:3363,q00625,"You know, you’re a very lucky man.” “Why do you say that?”“You’ve got a full-time job to do."
top1957:3363,q00626,"Here they go cruising for a fortnight up in parts where everyone is dead of radiation, and all that they can catch is measles!"
top1957:3363,q00627,I couldn’t bear to—to just stop doing things and do nothing. You might as well die now and get it over.
top1957:3363,q00628,"She had known for some time that his wife and family were very real to him, more real by far than the half-life in a far corner of the world that had been forced upon him since the war."
top1957:3363,q00629,"This is the end of it, is it? I mean, we just go on now getting sicker till we die?” “I think that’s the form,” he said. He smiled at her. “I’ve never done it before, but they say that’s what happens."
top1957:3363,q00630,"Some folks just have to have the liquor, times like these.” He eyed a policeman on the corner. “That’s what the cops here seem to think, in this city, at any rate. I’ve never seen a drunk arrested yet, not just for being drunk."
top1957:3363,q00631,"You mean, business is slowing down?” She nodded. “Lots of my friends are out of a job now. People aren’t working like they used to, and they don’t want secretaries"
