sample_id,quote_id,quote_text
top1937:3291,q00205,"Anything, I eventually learned, is preferable to war; but that knowledge is something every man must learn for himself—usually at considerable expense."
top1937:3291,q00206,"On every side of us are men who hunt perpetually for their personal northwest passage, too often sacrificing health, strength, and life itself to the search; and who shall say they are not happier in their vain but hopeful quest than wiser, duller folks who sit at home, venturing nothing and, with sour laughs, deriding the seekers for that fabled thoroughfare?"
