sample_id,quote_id,quote_text
top1984:6462,q01011,"He began to cry, not hysterically or screaming as people cry when concealed rage with tears, but with continuous sobs who has just discovered that he's alone and will be for long. He cried because safety and reason seemed to have left the world. Loneliness was a reality, but in this situation madness was also remotely a possibility."
top1984:6462,q01012,"But he had never seen Myrna in practice...never that close up. He had been impressed and a little frightened by the contrast between seeing ballet on stange, where everyone seemed to either glide or mince effortlessly on the tips of their pointes. and seeing it from less than five feet away, with harsh daylight pouring in the floor-to-ceiling windows and no music- only the choreographer rythmically clapping his hands and yelling harsh criticisms. No praise, only criticisms. Their faces ran with sweat. Their leotards were wet with sweat. The room, as large and airy as it way, stank of sweat. Sleek muscles trembled and fluttered on the nervous edge of exhaustion. Corded tendons stood out like insulated cables. Throbbing veins popped out on foreheads and necks. Except for the choreographer's clapping and angry, hectoring shouts, the only sounds were the thrup-thud of ballet dancers on pointe moving across the floor and harsh, agonized panting for breath. Jack had suddenly realized that these dancers were not just earning a living, they were killing themselves. Most of all he remembered their expressions- all that exhausted concentration, all that pain... but transcending the pain, or at least creeping around its edges, he had seen joy. Joy was unmistakably what that look was, and it scared Jack because it had seemed inexplicable."
top1984:6462,q01013,"...he never forgot that sweet, violent feeling of having touched some great adventure, of having looked for a moment at some beautiful white light that was, in fact, every color of the rainbow."
top1984:6462,q01014,"You don’t own a thing unless you can give it up, what does it profit a man, it profits him nothing, it profits him zilch, and you don’t learn that in school, you learn it on the road, you learn it from Ferd Janklow, and Wolf, and Richard going head-first into the rocks like a Titan II that didn’t fire off right."
top1984:6462,q01015,"As his mouth flooded with that horrible sweet purple taste, he could actually see those grapes dull, dusty, obese and nasty, crawling up a dirty stucco wall in a thick, syrupy sunlight that was silent except for the stupid buzz of many flies"
top1984:6462,q01016,From outside came a sudden and loud music of birds celebrating their existence.
top1984:6462,q01017,He could not say goodbye to these three rooms as he could to a house he had loved: hotel rooms accepted departures emotionlessly.
top1984:6462,q01018,"Ah, it’s a real pit. Sort of place where they eat what they run over on the road. Gorillaville. You eat the beer, then you drink"
top1984:6462,q01019,"Looking back on it, Sloat wasn't sure how he had tolerated Phil Sawyer for as long as he had. His partner had never played to win, not seriously; he had been encumbered by sentimental notions of loyalty and honor, corrupted by the stuff you told kids to get them halfway civilized before you finally tore the blindfold off their eyes."
top1984:6462,q01020,"Joy—damn, but that’s a cheerful little word."
top1984:6462,q01021,"When he remembered to turn and look for it, the Talisman was gone."
top1984:6462,q01022,"A universe of worlds, a dimensional macrocosm of worlds—and in all of them one thing that was always the same; one unifying force that was undeniably good, even if it now happened to be imprisoned in an evil place; the Talisman, axle of all possible worlds."
top1984:6462,q01023,"The door banged open, letting in a raucous flood of the Oak Ridge Boys."
top1984:6462,q01024,"All that profligate investment of energy to effect a splendid, momentary reversal of natural law. That such a reversal should demand so much and last such a short time was terrible; that people would go for it anyway was both terrible and wonderful....A game, or maybe even not that--maybe it was only practice for a game, the way that all the sweat and trembling exhaustion in the Wilshire loft that day had just been practice. Practice for a show that only a few people would probably care to attend and which would probably close quickly."
top1984:6462,q01025,"Talisman be given unto your hand, Travellin Jack. Not too big, not too small, she look just like a crystal ball. Travellin Jack, ole Travellin Jack, you be goin to California to bring her back. But here’s your burden, here’s your cross: drop her, Jack, and all be lost."
top1984:6462,q01026,"I think . . . she came here to die.” His voice rose impossibly on the last word, making a squeak like an unoiled hinge. “Maybe,” Speedy said, looking at Jack steadily. “And maybe you here to save her. Her . . . and a woman just like her.” “Who?” Jack said through numb lips. He knew who. He didn’t know her name, but he knew who. “The Queen,” Speedy said. “Her name is Laura DeLoessian, and she is the Queen of the Territories."
top1984:6462,q01027,"he still had no idea of how to begin expressing the things that troubled him. They could not be put into ordinary sentences, for ordinary sentences made everything seem rational."
top1984:6462,q01028,"fathers die, mothers die, uncles die even if they went to Yale and look as solid as bank walls in their three-piece Savile Row suits. Kids die too, maybe"
top1984:6462,q01029,"I can bear to tell you no more— only that they comforted each other aswell as they could, and, as you probably know from your own bitterexperience, that is never quite good enough."
top1984:6462,q01030,"Get me out of this, please get me out of this, I’d rather be dead than in this world."
top1984:6462,q01031,"The Talisman, it seemed, was much more than even his father had believed. It was not just the axle of all possible worlds, but the worlds themselves—the worlds, and the spaces between those worlds."
top1984:6462,q01032,"And lots of graffiti jotted on the walls of the men’s room, almost all of it the sort a fellow like Emory W. Light could really relate to: I LIKE TO SUK BIG FAT COX. BE HERE AT 4 FOR THE BEST BLOJOB YOU EVER HAD. REEM OUT MY BUTT. And here was a gay poet with large aspirations: LET THE HOLE HUMAN RACE/JERK OFF ON MY SMILING FACE."
